"LNR";"Family";"Genus";"Species";"AuthorYear";"Collection";"KatalogNrPers";"Specimens";"Specimenbased";"MaleCount";"FemaleCount";"JuvenileCount";"Leg";"Det";"Date";"Month";"Year";"Region";"Locality";"LatPrec";"LongPrec";"RadiusNew";"NotesF";"NotesonLoc";"NotesonSpecimen";"NotesonTube";"UTM10"
;"Eutichuridae";"Cheiracanthium";"erraticum";"(Walckenaer, 1802)";"ZMUC";"JL05975";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";19;5;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Arctosa";"leopardus";"(Sundevall, 1833)";"ZMUC";"JL05976";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";19;5;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Lycosidae";"Pardosa";"prativaga";"(L. Koch, 1870)";"ZMUC";"JL05977";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";19;5;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Salticidae";"Evarcha";"falcata";"(Clerck, 1757) ";"ZMUC";"JL05978";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";19;5;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Eutichuridae";"Cheiracanthium";"erraticum";"(Walckenaer, 1802)";"ZMUC";"JL05979";3;0;1;2;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Crustulina";"sticta";"(O. P.-Cambridge, 1861)";"ZMUC";"JL05980";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Araneus";"diadematus";"Clerck, 1757 ";"ZMUC";"JL05981";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Neoscona";"adianta";"(Walckenaer, 1802)";"ZMUC";"JL05982";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Philodromidae";"Philodromus";"cespitum";"(Walckenaer, 1802)";"ZMUC";"JL05983";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Araneidae";"Araniella";"opisthographa";"(Kulczynski, 1905)";"ZMUC";"JL05984";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Phylloneta";"impressa";"(L. Koch, 1881)";"ZMUC";"JL05985";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Miturgidae";"Zora";"spinimana";"(Sundevall, 1833) ";"ZMUC";"JL05986";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Theridiidae";"Robertus";"arundineti";"(O. P.-Cambridge, 1871)";"ZMUC";"JL05987";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Linyphiidae";"Erigone";"atra";"Blackwall, 1833";"ZMUC";"JL05988";1;0;1;0;0;"Jan Pedersen";"Jørgen Lissner";12;7;2007;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (ketchet af vegetation i lysåben mose)";56.82479;10.24748;25;;;;;"NJ79"
;"Gnaphosidae";"Drassodes";"cupreus";"(Blackwall, 1834)";"ZMUC";"JL05989";1;0;0;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
;"Thomisidae";"Xysticus";"ulmi";"(Hahn, 1831)";"ZMUC";"JL05990";2;0;1;1;0;"Jan Pedersen";"Jørgen Lissner";4;6;2006;"NEJ";"ZMUC Sellegårdskoven i Tofte Skov (sigtet af løv og mos i lysåben fyrreskov)";56.82479;10.24748;25;;;;;"NJ79"
