"SpeciesID","GenusID","Species","PsFurtherTaxa","SortOrder","SAuthor","N_D","NameDK","NameUK","SpEu","SpFO","SpGL","SpAZ","SBiolEuDK","SBiolEuUK","SBiolDkDK","SBiolDkUK","SBiolFoDK","SBiolFoUK","SBiolGlDK","SBiolGlUK","SBiolAzUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SHabFoDK","SHabFoUK","SHabGlDK","SHabGlUK","SHabAzUK","SMatEuDK","SMatEuUK","SMatDkDK","SMatDkUK","SMatFoDK","SMatFoUK","SMatGlDK","SMatGlUK","SMatAzUK","SOriginFO","SOriginAZ","Notes","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK","SDistriFoDK","SDistriFoUK","SDistriGlDK","SDistriGlUK","SDistriAzUK","P_Distribution","VH_Distribution","AD","AL","AUT","BA","BE","BG","BYR","CH","CY","CZ","DE","DK","EE","ES_BAL","ES_CNY","ES_SPA","FI","FO","FR_COR","FR","GB","GB_CI","GB_GI","GB_NI","GR_AEG","GR_CYC","GR_DOD","GR_GRC","GR_KRI","HR","HU","ICL","IE","IT_ITA","IT_SAR","IT_SI","LI","LT","LU","LV","MC","MD","MK","MT","NL","NO_NOR","NO_SVA","PL","PT_AZO","PT_MDR","PT_POR","PT_SEL","RO","RU_FJL","RU_KGD","RU_NOZ","RU_RUC","RU_RUE","RU_RUN","RU_RUS","RU_RUW","SE","SI","SK","SM","TR_TUE","UA","VA","YU"
"2819","743","blackwalli","0","0","(O. P.-Cambridge, 1872)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crete, Cyprus, Turkey, Israel, Lebanon","Cyprus, Greece (Crete)","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2820","743","graeca","0","0","Thaler & Knoflach, 2004","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Mainland)","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2821","343","bonneti","0","0","Spassky, 1939","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Austria to Japan","Austria, France (Mainland), Hungary, Poland","","","P","","","","","","","","","","","","","","","","","P","","","","","","","","","","","P","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","",""
"2822","343","elegans","0","0","Spassky, 1939","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Austria to China","Austria, Hungary, Ukraine","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","",""
"2823","343","jeskovi","0","0","Marusik, 1987","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eastern Europe to Japan","Hungary, Poland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","",""
"2824","85","patagiatus islandicola","0","0","(Strand, 1906)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iceland","Iceland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2825","85","gracilis","0","0","Menge, 1879)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2827","85","suspicax","0","0","(O. P.-Cambridge, 1876) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe to Central Asia","Austria, Bulgaria, Czech Republic, France (Corsica), France (Mainland), Germany, Greece (Crete), Greece (Mainland), Greece (North Aegean Islands), Hungary, Italy (Mainland), Italy (Sardinia), Macedonia, Malta, Moldova, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Russia (Kaliningrad Region), Russia (Southern European), Slovakia, Slovenia, Spain (Mainland), Switzerland, Ukraine","","","P","","","P","","P","","P","P","","","","","P","","","P","P","","","","","P","","","P","P","","P","","","P","P","","","","","","","P","P","P","","","","","","","P","","P","","P","","P","P","","P","","","P","P","","","P","",""
"2828","273","testaceomarginata","0","0","Simon, 1881","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain to Italy","France (Corsica), France (Mainland), Italy (Mainland), Portugal (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","P","P","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"2829","192","teideensis","0","0","Wunderlich, 1992","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2830","192","humilis meridionalis","0","0","(Simon, 1874)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain, France, Corsica, North Africa","Andorra, France (Corsica), France (Mainland), Spain (Mainland)","P","","","","","","","","","","","","","","","P","","","P","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2831","192","affinis","0","0","(Blackwall, 1862)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Madeira","Portugal (Madeira), Portugal (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","P","","","","","","","","","","","","","","","","","",""
"2832","192","heterophthalma","0","0","Kulczynski, 1891","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France, Croatia","Croatia, Spain (Balearic Islands)?","","","","","","","","","","","","","","PQ","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2833","192","jubata","0","0","(Denis, 1947)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland), Portugal (Mainland)?","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PQ","","","","","","","","","","","","","","","","","",""
"2834","192","lepida","0","0","O. P.-Cambridge, 1909","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Britain (introduced from Spain)","Great Britain (Mainland) (introduced), Spain (Mainland)?","","","","","","","","","","","","","","","","PQ","","","","","PI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2835","192","lutulenta","0","0","Simon, 1914","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2836","192","narbonensis","0","0","(Simon, 1876)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France, Italy","France (Mainland), Italy (Mainland), Portugal (Mainland)?, Spain (Balearic Islands)?","","","","","","","","","","","","","","PQ","","","","","","P","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","PQ","","","","","","","","","","","","","","","","","",""
"2837","192","sexpustulata","0","0","(Simon, 1878)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2838","192","stigmatisata","0","0","(Menge, 1869)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Austria, Belarus, Belgium, Bulgaria, Czech Republic, France (Mainland), Germany, Great Britain (Mainland), Greece (Dodecanese Islands), Greece (Mainland), Hungary, Italy (Mainland), Macedonia, Poland, Russia (Central European), Russia (Eastern European), Russia (Southern European), Slovakia, Switzerland, Ukraine","","","P","","P","P","P","P","","P","P","","","","","","","","","P","P","","","","","","P","P","","","P","","","P","","","","","","","","","P","","","","","P","","","","","","","","","P","P","","P","","","","P","","","P","",""
"2839","192","simplex","0","0","(Simon, 1884)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Algeria, Ukraine","France (Mainland), Ukraine","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","",""
"2840","723","hasselti","0","0","Thorell, 1870","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Southeast Asia to Australia, New Zealand","Belgium (introduced)","","","","","PI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2841","723","geometricus","0","0","C. L. Koch, 1841","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cosmopolitan","Belgium (introduced), Ireland","","","","","PI","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2842","723","lilianae","0","0","Melic, 2000","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2843","723","tredecimguttatus","0","0","(Rossi, 1790) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mediterranean to China","Bosnia/Herzegowina, Bulgaria, Croatia, France (Corsica), France (Mainland), Greece (Crete), Greece (Dodecanese Islands), Greece (Mainland), Greece (North Aegean Islands), Italy (Mainland), Italy (Sardinia), Italy (Sicily), Macedonia, Portugal (Madeira), Portugal (Mainland), Romania, Russia (Eastern European), Russia (Southern European), Spain (Canary Islands), Spain (Mainland), Ukraine, Yugoslavia?","","","","P","","P","","","","","","","","","P","P","","","P","P","","","","","P","","P","P","P","P","","","","P","P","P","","","","","","","P","","","","","","","P","P","","P","","","","","P","","P","","","","","","","P","","PQ"
"2844","723","mactans","0","0","(Fabricius, 1775)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","probably North America only","Belgium (introduced)","","","","","PI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2845","723","revivensis","0","0","Shulov, 1948","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Israel","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2846","231","beckeri","0","0","Wunderlich, 1973","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Germany","Germany, Great Britain (Mainland)","","","","","","","","","","","P","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2847","231","fagei","0","0","Machado, 1939","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2848","231","encaustus","0","0","(Becker, 1879)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Moldavia","Moldova, Romania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","P","","","","","","","","","","","","","","","",""
"2849","231","dilutus","0","0","(Thorell, 1875)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sweden","Sweden","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","",""
"2850","231","corsicos","0","0","Wunderlich, 1980","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Corsica","France (Corsica)","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2851","231","aegeus","0","0","Caporiacco, 1948","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Dodecanese Islands)","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2852","231","agnellus","0","0","Maurer & Thaler, 1988","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France, Italy","France (Mainland), Italy (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2853","231","albuloides","0","0","(O. P.-Cambridge, 1872)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cyprus, Israel","Cyprus?","","","","","","","","","PQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2854","231","anguliformis","0","0","Loksa, 1966","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","(not listed by Platnick)","Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2855","231","balearicus","0","0","Denis, 1961","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Balearic Is","Spain (Balearic Islands)","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2856","231","carlittensis","0","0","Denis, 1952","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2857","231","beroni","0","0","Deltshev, 1979","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Crete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2858","231","beshkovi","0","0","Deltshev, 1979","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crete","Greece (Crete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2859","231","bigerrensis","0","0","Simon, 1929","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2860","231","centromeroides carpathicus","0","0","Dumitrescu & Georgescu, 1970","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Romania","Romania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","",""
"2861","231","brignolianus","0","0","Deltshev, 1979","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crete","Greece (Crete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2862","231","hamifer","0","0","Simon, 1884","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2863","231","corfuensis","0","0","Wunderlich, 1995","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Mainland)","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2864","231","constantinescui","0","0","Georgescu, 1989","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Romania","Romania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","",""
"2865","231","centromeroides","0","0","Kulczynski, 1914","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Balkans, Bulgaria, Romania","Bosnia/Herzegowina, Bulgaria, Macedonia, Romania, Yugoslavia","","","","P","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","P","","","","","","","","","","","","","","","","P"
"2866","231","bacelarae","0","0","Schenkel, 1938","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Portugal","Portugal (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"2867","231","ritae","0","0","Bosmans, 1985","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain, Morocco, Algeria, Tunisia","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2868","231","ollivieri","0","0","Denis, 1957","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland), Portugal (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"2869","231","opilio","0","0","Simon, 1929","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2870","231","palmeroensis","0","0","Wunderlich, 1992","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2871","231","pannonicus","0","0","Kolosvry, 1935","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hungary","Hungary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2872","231","gadesi","0","0","Fage, 1931","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2873","231","phallifer","0","0","Fage, 1931","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2874","231","sardous","0","0","Gozo, 1908","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sardinia","Italy (Sardinia)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2875","231","suldalensis","0","0","Strand, 1903","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Norway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2876","231","tenerrimus","0","0","Simon, 1929","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2877","231","tenoides","0","0","Kolosváry, 1938","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Balkans","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2878","231","thienemanni","0","0","Schenkel, 1925","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Germany","Germany","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2879","231","todillus","0","0","Simon, 1929","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2880","231","zaragozai","0","0","Ribera, 1981","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2881","231","paoloi","0","0","Wunderlich, 1995","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sardinia","Italy (Sardinia)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2882","231","lundbladi","0","0","Schenkel, 1938","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Madeira","Portugal (Madeira)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","",""
"2883","231","eleonorae","0","0","Wunderlich, 1995","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sardinia","Italy (Sardinia)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2884","231","ibericus","0","0","Ribera, 1981","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2885","231","huberti","0","0","Wunderlich, 1980","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Corsica","France (Corsica)","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2886","231","garganicus","0","0","Caporiacco, 1951","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","Italy (Mainland)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2887","231","eugeni","0","0","Roewer, 1942","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France, Spain","France (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2888","231","ivanovi","0","0","Pakhorukov, 1981","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Russia","Russia (Central European)?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PQ","","","","","","","","","","","",""
"2889","231","kratochvili","0","0","Fage, 1945","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crete","Greece (Crete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2890","231","impudicus","0","0","Kulczynski, 1909","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Madeira","Portugal (Madeira)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","",""
"2891","231","ligulifer","0","0","Denis, 1952","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Romania","Romania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","",""
"2892","231","nitidior","0","0","Simon, 1929","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2893","231","moratus","0","0","Hull, 1912","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","England","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
