"SpeciesID","GenusID","Species","PsFurtherTaxa","SortOrder","SAuthor","N_D","NameDK","NameUK","SpEu","SpFO","SpGL","SpAZ","SBiolEuDK","SBiolEuUK","SBiolDkDK","SBiolDkUK","SBiolFoDK","SBiolFoUK","SBiolGlDK","SBiolGlUK","SBiolAzUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SHabFoDK","SHabFoUK","SHabGlDK","SHabGlUK","SHabAzUK","SMatEuDK","SMatEuUK","SMatDkDK","SMatDkUK","SMatFoDK","SMatFoUK","SMatGlDK","SMatGlUK","SMatAzUK","SOriginFO","SOriginAZ","Notes","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK","SDistriFoDK","SDistriFoUK","SDistriGlDK","SDistriGlUK","SDistriAzUK","P_Distribution","VH_Distribution","AD","AL","AUT","BA","BE","BG","BYR","CH","CY","CZ","DE","DK","EE","ES_BAL","ES_CNY","ES_SPA","FI","FO","FR_COR","FR","GB","GB_CI","GB_GI","GB_NI","GR_AEG","GR_CYC","GR_DOD","GR_GRC","GR_KRI","HR","HU","ICL","IE","IT_ITA","IT_SAR","IT_SI","LI","LT","LU","LV","MC","MD","MK","MT","NL","NO_NOR","NO_SVA","PL","PT_AZO","PT_MDR","PT_POR","PT_SEL","RO","RU_FJL","RU_KGD","RU_NOZ","RU_RUC","RU_RUE","RU_RUN","RU_RUS","RU_RUW","SE","SI","SK","SM","TR_TUE","UA","VA","YU"
"3935","43","pulvurulentus","0","0","(Walckenaer, 1805)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3936","43","exilis","0","0","Blackwall, 1870)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3937","43","conicus","0","0","(Rossi, 1846)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","Bulgaria","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3938","43","brevis","0","0","Blackwall, 1870)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3939","43","bicolor","0","0","(Lucas, 1838)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3940","43","guerini","0","0","Lucas, in Guérin, 1837","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3941","43","varsaviensis","0","0","Taczanowski, 1867","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3942","43","villosus","0","0","(Lucas, 1838)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3943","43","wankowiczi","0","0","(Simon, 1868)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lithuania","Belarus","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3944","43","iteacus","0","0","Metzner, 1999","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Mainland)","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3945","43","mandibularis","0","0","(Simon, 1868)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Greece","Greece (Mainland), Italy (Mainland)","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3946","43","modicus","0","0","(Simon, 1875)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3947","43","gomerensis","0","0","Wunderlich, 1987","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3948","43","major","0","0","(Simon, 1868)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Portugal, Spain, France","France (Mainland), Portugal (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"3949","43","canariensis","0","0","Wunderlich, 1987","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3950","43","alegranzaensis","0","0","Wunderlich, 1995","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Canary Is","Spain (Canary Islands)","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3951","43","olivaceus","0","0","(L. Koch, 1867)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain to Israel","Greece (Cyclades), Greece (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","P","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3952","43","confusus","0","0","Lucas, 1846","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain, Corsica, Bulgaria, Algeria","France (Corsica), Portugal (Mainland), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","",""
"3953","43","trilineatus","0","0","(Rossi, 1846","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sicily","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3954","43","notatus","0","0","Blackwall, 1852)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","England","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3955","43","nivosus","0","0","(Walckenaer, 1805)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3956","43","flavipalpis","0","0","Risso, 1826)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3957","43","jenynsi","0","0","Blackwall, 1854)","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","England","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3959","730","blackwalli","0","0","(O. P.-Cambridge, 1871)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe, Russia, Ukraine, North Africa","Austria, Belgium, Bulgaria, Czech Republic, France (Mainland), Germany, Great Britain (Mainland), Greece (Mainland), Hungary, Ireland, Italy (Mainland), Italy (Sardinia), Netherlands, Poland, Portugal (Mainland), Romania, Russia (Central European), Russia (Eastern European), Slovakia, Slovenia, Spain (Mainland), Switzerland, Ukraine, Yugoslavia","","","P","","P","P","","P","","P","P","","","","","P","","","","P","P","","","","","","","P","","","P","","P","P","P","","","","","","","","","","P","","","P","","","P","","P","","","","P","P","","","","","P","P","","","P","","P"
"3960","521","patrizii","0","0","(Roewer, 1956) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sardinia","Italy (Sardinia)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3961","635","rayi","0","0","(Simon, 1881)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Europe","Belgium, Bulgaria, Croatia, France (Mainland), Germany, Greece (Mainland), Italy (Mainland), Poland, Romania, Slovakia, Slovenia","","","","","P","P","","","","","P","","","","","","","","","P","","","","","","","","P","","P","","","","P","","","","","","","","","","","","","","P","","","","","P","","","","","","","","","","P","P","","","","",""
"3962","635","fissocornis","0","0","Eskov, 1995","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Russia, Kazakhstan","Russia (Central European)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","",""
"3963","140","superstes","0","0","Thaler, 1984","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France","France (Mainland)","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3964","140","producta","0","0","Holm, 1977","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Palearctic","Finland, Russia (Eastern European), Russia (Northern European), Sweden","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","P","","","P","","","","","","",""
"3965","140","naniplopi","0","0","Bosselaers & Henderickx, 2002","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Crete","Greece (Crete)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3966","140","harmsi","0","0","Wunderlich, 1980","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spain","Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3967","140","fronticornis","0","0","(Simon, 1884)","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mediterranean","France (Mainland), Greece (Crete), Spain (Mainland)","","","","","","","","","","","","","","","","P","","","","P","","","","","","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3968","367","grandis","0","0","Wunderlich, 1992","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Azores","Portugal (Azores)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","","","","","","","","",""
"3969","582","tenuis","0","0","(Holm, 1943) ","0","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sweden, Finland, Russia","Estonia, Finland, Norway (Mainland), Russia (Eastern European), Russia (Northern European), Sweden","","","","","","","","","","","","","P","","","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P","","","","","","","","","","","","P","P","","","P","","","","","","",""
"3970","699","parvulus","0","0","Menge, 1879","1","","","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Germany","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
